,AW_MFG,AW_MFG_0,CF,CF$,CF$_0,CF$_QAVG,CF_0,CF_QAVG,CF_YPCY,CG,CG$,CG$_0,CG$_QAVG,CG_QAVG,CG_YPCY,CO,CO$,CO$_0,CO$_QAVG,CO_0,CO_A,CO_QAVG,CO_YPCY,CONTRIB_C_CF_Q,CONTRIB_C_CF_Q_0,CONTRIB_C_CO_Q,CONTRIB_C_CO_Q_0,CONTRIB_CF_Q,CONTRIB_CF_Q_0,CONTRIB_CG_Q,CONTRIB_CG_Q_0,CONTRIB_CO_Q,CONTRIB_CO_Q_0,CONTRIB_CP_Q,CONTRIB_EX_Q,CONTRIB_EX_Q_0,CONTRIB_I_IG_Q,CONTRIB_I_IG_Q_0,CONTRIB_I_IP_Q,CONTRIB_I_IP_Q_0,CONTRIB_I_IPC_Q,CONTRIB_I_IPC_Q_0,CONTRIB_IFIX_Q,CONTRIB_IFIX_Q_0,CONTRIB_IG_Q,CONTRIB_IG_Q_0,CONTRIB_IM_Q,CONTRIB_IM_Q_0,CONTRIB_IP_Q,CONTRIB_IP_Q_0,CONTRIB_IPC_Q,CONTRIB_IPC_Q_0,CONTRIB_JJ_Q,CONTRIB_JJ_Q_0,CP,CP$,CP$_0,CP$_QAVG,CP_0,CP_QAVG,CP_YPCY,CPI,CPI_0,CPI_A,CPIZF,CPIZF_0,DEPOSIT,DEPOSIT_0,EROC,EX,EX$,EX$_0,EX$_QAVG,EX_0,EX_QAVG,EX_YPCY,FFR,GDP,GDP$,GDP$_0,GDP$_QAVG,GDP_0,GDP_CHN,GDP_PCY,GDP_PCY_0,GDP_QAVG,GDP_USA,GDP_YPCY,IDTAX,IDTAX_0,IFIX,IFIX$,IFIX$_0,IFIX$_QAVG,IFIX_0,IFIX_QAVG,IFIX_YPCY,IG,IG$,IG$_0,IG$_QAVG,IG_QAVG,IG_YPCY,IM,IM$,IM$_0,IM$_QAVG,IM_0,IM_QAVG,IM_YPCY,IMTW$,IP,IP$,IP$_0,IP$_QAVG,IP_0,IP_A,IP_QAVG,IP_YPCY,IPC,IPC$,IPC$_0,IPC$_QAVG,IPC_QAVG,IPC_YPCY,IPX_JAP,IR,IRC,IRC_0,IRCUS,IRI,IRI_0,JJ,JJ$,JJ$_QAVG,JJ_0,JJ_A,JJ_QAVG,JJ_YPCY,LE,LE_0,LF,LF_0,LOAN,LOAN_0,M1B,M1B_0,M1B_A,M2,M2_0,M2_A,MGF_SALE_IDX,MGF_SALE_IDX_0,MRDA,MRDA_0,NETEXPORT,NETEXPORT_0,PCF,PCF_0,PCF_QAVG,PCG,PCG_0,PCG_QAVG,PCO,PCO_0,PCO_QAVG,PCP,PCP_0,PCP_QAVG,PDT,PDT_0,PEX,PEX_0,PEX_A,PEX_QAVG,PGDP,PGDP_0,PGDP_QAVG,PIFIX,PIFIX_0,PIFIX_A,PIFIX_QAVG,PIG,PIG_0,PIG_QAVG,PIM,PIM_0,PIM_A,PIM_QAVG,PIP,PIP_0,PIP_QAVG,PIPC,PIPC_0,PIPC_QAVG,PJJ,PJJ_0,PJJ_QAVG,POIL,POP,PSTOCK,PSTOCK_0,PSTOCK_A,RMIBON,RMIBON_0,RTAXCUM,RU,RU_0,STOCK_TRADE,STOCK_TRADE_0,TARRIF,TD,TD_0,TMUIA$$,TMUIA$$_0,ULC,ULC_0,WPI,WPI_0,WPI_A,WPX
1964-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,127.333333333333,127.333333333333,,318.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,135.333333333333,135.333333333333,,325.333333333333,325.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4341.74,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,145.333333333333,145.333333333333,,341.666666666666,341.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5995.25,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,143.0,143.0,,346.0,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5703.74,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,144.333333333333,144.333333333333,,357.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6255.31,,,,,,,,,,,,,,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,149.666666666666,149.666666666666,,370.666666666666,370.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21185.0,5185.0,5185.0,6403.5,21185.0,25090.75,,3654.0,558.0,558.0,759.5,4519.25,,,,,,,,,5709.02,14444.0,3636.0,3636.0,4078.25,14444.0,,15503.0,,2905.0,991.0,991.0,1565.75,4575.5,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,154.0,154.0,,388.666666666666,388.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.47,24.47,,0.2552135747237528,15.27,15.27,0.16805885932400288,,,,,25.17,25.17,0.2630619880023221,34.11,34.11,0.3422030379193531,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24626.0,6198.0,6198.0,6403.5,24626.0,25090.75,,4873.0,798.0,798.0,759.5,4519.25,,,,,,,,,5561.26,13863.0,3606.0,3606.0,4078.25,13863.0,,15503.0,,5309.0,1794.0,1794.0,1565.75,4575.5,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,159.666666666666,159.666666666666,,408.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17,25.17,,0.2552135747237528,16.38,16.38,0.16805885932400288,,,,,26.01,26.01,0.2630619880023221,33.79,33.79,0.3422030379193531,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24720.0,6500.0,6500.0,6403.5,24720.0,25090.75,,4598.0,825.0,825.0,759.5,4519.25,,,,,,,,,5982.92,16014.0,4335.0,4335.0,4078.25,16014.0,,15503.0,,3863.0,1340.0,1340.0,1565.75,4575.5,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,166.666666666666,166.666666666666,,431.666666666666,431.666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.29,26.29,,0.2552135747237528,17.94,17.94,0.16805885932400288,,,,,27.07,27.07,0.2630619880023221,34.69,34.69,0.3422030379193531,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29832.0,7731.0,7731.0,6403.5,29832.0,25090.75,,4952.0,857.0,857.0,759.5,4519.25,,,,,,,,,7703.46,17691.0,4736.0,4736.0,4078.25,17691.0,,15503.0,,6225.0,2138.0,2138.0,1565.75,4575.5,,,11.52,,,,14.04,14.04,,,,,,,,,,,,,,172.666666666666,172.666666666666,,451.0,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92,25.92,,0.2552135747237528,17.31,17.31,0.16805885932400288,,,,,26.77,26.77,0.2630619880023221,34.35,34.35,0.3422030379193531,,,,,,,,,,,,,,,,,,,,,,,,,,
